Year,yearcode,Site,sitecode,Transect,Interval,Heights
1999,3,Rough Meadows,2,1.1,5,97
2000,4,Rough Meadows,2,1.1,5,143
2000,4,Rough Meadows,2,1.1,5,137
2001,5,Rough Meadows,2,1.1,5,140
2001,5,Rough Meadows,2,1.1,5,140
2002,6,Rough Meadows,2,1.1,5,0
2002,6,Rough Meadows,2,1.1,5,0
1997,1,Rough Meadows,2,1.1,10,220
1997,1,Rough Meadows,2,1.1,10,220
1998,2,Rough Meadows,2,1.1,10,225
1998,2,Rough Meadows,2,1.1,10,222
1999,3,Rough Meadows,2,1.1,10,202
1999,3,Rough Meadows,2,1.1,10,175
2000,4,Rough Meadows,2,1.1,10,221
2000,4,Rough Meadows,2,1.1,10,251
2001,5,Rough Meadows,2,1.1,10,245
2001,5,Rough Meadows,2,1.1,10,243
2002,6,Rough Meadows,2,1.1,10,236
2002,6,Rough Meadows,2,1.1,10,233
1997,1,Rough Meadows,2,1.1,15,260,
1997,1,Rough Meadows,2,1.1,15,250,
1998,2,Rough Meadows,2,1.1,15,287,
1998,2,Rough Meadows,2,1.1,15,285,
1999,3,Rough Meadows,2,1.1,15,258,
1999,3,Rough Meadows,2,1.1,15,260,
2000,4,Rough Meadows,2,1.1,15,276,
2000,4,Rough Meadows,2,1.1,15,267,
2001,5,Rough Meadows,2,1.1,15,302,
2001,5,Rough Meadows,2,1.1,15,292,
2002,6,Rough Meadows,2,1.1,15,302,
2002,6,Rough Meadows,2,1.1,15,275,
1997,1,Rough Meadows,2,1.1,20,0,
1997,1,Rough Meadows,2,1.1,20,0,
1998,2,Rough Meadows,2,1.1,20,0,
1998,2,Rough Meadows,2,1.1,20,0,
1999,3,Rough Meadows,2,1.1,20,0,
1999,3,Rough Meadows,2,1.1,20,0,
2000,4,Rough Meadows,2,1.1,20,257,
2000,4,Rough Meadows,2,1.1,20,242,
2001,5,Rough Meadows,2,1.1,20,231,
2001,5,Rough Meadows,2,1.1,20,219,
2002,6,Rough Meadows,2,1.1,20,263,
2002,6,Rough Meadows,2,1.1,20,258,
1997,1,Rough Meadows,2,1.2,10,250,
1997,1,Rough Meadows,2,1.2,10,220,
1998,2,Rough Meadows,2,1.2,10,193,
1998,2,Rough Meadows,2,1.2,10,188,
1999,3,Rough Meadows,2,1.2,10,212,
1999,3,Rough Meadows,2,1.2,10,210,
2000,4,Rough Meadows,2,1.2,10,169,
2000,4,Rough Meadows,2,1.2,10,163,
2001,5,Rough Meadows,2,1.2,10,178
2001,5,Rough Meadows,2,1.2,10,161
2002,6,Rough Meadows,2,1.2,10,154
2002,6,Rough Meadows,2,1.2,10,146
1997,1,Rough Meadows,2,1.2,15,260
1997,1,Rough Meadows,2,1.2,15,235
1998,2,Rough Meadows,2,1.2,15,249
1998,2,Rough Meadows,2,1.2,15,218
1999,3,Rough Meadows,2,1.2,15,226
1999,3,Rough Meadows,2,1.2,15,210
2000,4,Rough Meadows,2,1.2,15,247
2000,4,Rough Meadows,2,1.2,15,242
2001,5,Rough Meadows,2,1.2,15,241
2001,5,Rough Meadows,2,1.2,15,237
2002,6,Rough Meadows,2,1.2,15,231
2002,6,Rough Meadows,2,1.2,15,220
1997,1,Rough Meadows,2,1.2,20,200
1997,1,Rough Meadows,2,1.2,20,190
1998,2,Rough Meadows,2,1.2,20,193
1998,2,Rough Meadows,2,1.2,20,188
1999,3,Rough Meadows,2,1.2,20,0
1999,3,Rough Meadows,2,1.2,20,0
2000,4,Rough Meadows,2,1.2,20,180
2000,4,Rough Meadows,2,1.2,20,179
2001,5,Rough Meadows,2,1.2,20,205
2001,5,Rough Meadows,2,1.2,20,173
2002,6,Rough Meadows,2,1.2,20,159
2002,6,Rough Meadows,2,1.2,20,107
1997,1,Rough Meadows,2,1.2,25,0
1997,1,Rough Meadows,2,1.2,25,0
1998,2,Rough Meadows,2,1.2,25,0
1998,2,Rough Meadows,2,1.2,25,0
1999,3,Rough Meadows,2,1.2,25,155
1999,3,Rough Meadows,2,1.2,25,120
2000,4,Rough Meadows,2,1.2,25,0
2000,4,Rough Meadows,2,1.2,25,0
2001,5,Rough Meadows,2,1.2,25,0
2001,5,Rough Meadows,2,1.2,25,0
2002,6,Rough Meadows,2,1.2,25,0
2002,6,Rough Meadows,2,1.2,25,0
1997,1,Rough Meadows,2,2.1,0,345
1997,1,Rough Meadows,2,2.1,0,320
1998,2,Rough Meadows,2,2.1,0,309
1998,2,Rough Meadows,2,2.1,0,296
1999,3,Rough Meadows,2,2.1,0,230
1999,3,Rough Meadows,2,2.1,0,192
2000,4,Rough Meadows,2,2.1,0,222
2000,4,Rough Meadows,2,2.1,0,177
2001,5,Rough Meadows,2,2.1,0,201,
2001,5,Rough Meadows,2,2.1,0,180,
2002,6,Rough Meadows,2,2.1,0,364,
2002,6,Rough Meadows,2,2.1,0,327,
1997,1,Rough Meadows,2,2.1,5,275,
1997,1,Rough Meadows,2,2.1,5,255,
1998,2,Rough Meadows,2,2.1,5,258,
1998,2,Rough Meadows,2,2.1,5,292,
1999,3,Rough Meadows,2,2.1,5,289,
1999,3,Rough Meadows,2,2.1,5,246,
2000,4,Rough Meadows,2,2.1,5,257,
2000,4,Rough Meadows,2,2.1,5,253,
2001,5,Rough Meadows,2,2.1,5,245,
2001,5,Rough Meadows,2,2.1,5,237,
2002,6,Rough Meadows,2,2.1,5,257,
2002,6,Rough Meadows,2,2.1,5,251,
1997,1,Rough Meadows,2,2.1,10,170
1997,1,Rough Meadows,2,2.1,10,165
1998,2,Rough Meadows,2,2.1,10,0
1998,2,Rough Meadows,2,2.1,10,0
1999,3,Rough Meadows,2,2.1,10,316
1999,3,Rough Meadows,2,2.1,10,298
2000,4,Rough Meadows,2,2.1,10,353
2000,4,Rough Meadows,2,2.1,10,302
2001,5,Rough Meadows,2,2.1,10,363
2001,5,Rough Meadows,2,2.1,10,349
2002,6,Rough Meadows,2,2.1,10,0
2002,6,Rough Meadows,2,2.1,10,0
1998,2,Rough Meadows,2,2.2,10,216
1998,2,Rough Meadows,2,2.2,10,193
1999,3,Rough Meadows,2,2.2,10,170
1999,3,Rough Meadows,2,2.2,10,167
2000,4,Rough Meadows,2,2.2,10,156,
2000,4,Rough Meadows,2,2.2,10,145,
2001,5,Rough Meadows,2,2.2,10,102,
2001,5,Rough Meadows,2,2.2,10,53,
2002,6,Rough Meadows,2,2.2,10,96,
2002,6,Rough Meadows,2,2.2,10,77,
1998,2,Rough Meadows,2,2.2,15,213,
1998,2,Rough Meadows,2,2.2,15,210,
1999,3,Rough Meadows,2,2.2,15,167,
1999,3,Rough Meadows,2,2.2,15,160,
2000,4,Rough Meadows,2,2.2,15,205,
2000,4,Rough Meadows,2,2.2,15,203,
2001,5,Rough Meadows,2,2.2,15,254,
2001,5,Rough Meadows,2,2.2,15,246,
2002,6,Rough Meadows,2,2.2,15,211,
2002,6,Rough Meadows,2,2.2,15,210,
1998,2,Rough Meadows,2,2.2,20,273
1998,2,Rough Meadows,2,2.2,20,262
1999,3,Rough Meadows,2,2.2,20,225
1999,3,Rough Meadows,2,2.2,20,217
2000,4,Rough Meadows,2,2.2,20,219
2000,4,Rough Meadows,2,2.2,20,216
2001,5,Rough Meadows,2,2.2,20,263
2001,5,Rough Meadows,2,2.2,20,262
2002,6,Rough Meadows,2,2.2,20,295
2002,6,Rough Meadows,2,2.2,20,259
1997,1,Rough Meadows,2,2.3,10,95
1997,1,Rough Meadows,2,2.3,10,70
1998,2,Rough Meadows,2,2.3,10,127
1999,3,Rough Meadows,2,2.3,10,141
1999,3,Rough Meadows,2,2.3,10,93
2000,4,Rough Meadows,2,2.3,10,99
2000,4,Rough Meadows,2,2.3,10,90
1997,1,Rough Meadows,2,2.3,15,225
1997,1,Rough Meadows,2,2.3,15,225
1998,2,Rough Meadows,2,2.3,15,256
1998,2,Rough Meadows,2,2.3,15,235
1999,3,Rough Meadows,2,2.3,15,251
1999,3,Rough Meadows,2,2.3,15,240
2000,4,Rough Meadows,2,2.3,15,238
2000,4,Rough Meadows,2,2.3,15,227
2001,5,Rough Meadows,2,2.3,15,231
2001,5,Rough Meadows,2,2.3,15,221
2002,6,Rough Meadows,2,2.3,15,237
2002,6,Rough Meadows,2,2.3,15,216
1997,1,Rough Meadows,2,2.3,20,285
1997,1,Rough Meadows,2,2.3,20,265
1998,2,Rough Meadows,2,2.3,20,255
1998,2,Rough Meadows,2,2.3,20,240
1999,3,Rough Meadows,2,2.3,20,240
1999,3,Rough Meadows,2,2.3,20,231
2000,4,Rough Meadows,2,2.3,20,253
2000,4,Rough Meadows,2,2.3,20,245
2001,5,Rough Meadows,2,2.3,20,283
2001,5,Rough Meadows,2,2.3,20,273
2002,6,Rough Meadows,2,2.3,20,259
2002,6,Rough Meadows,2,2.3,20,248
1997,1,Rough Meadows,2,3.1,45,205
1997,1,Rough Meadows,2,3.1,45,175
